GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
student-tests,study.stepup,Student,22,97,1,11,5,22,2,12,1,7
student-tests,study.stepup,Main,75,0,2,0,13,0,3,0,2,0
